campaign_id,total_unique_donors
H0WI03134,5
H6FL07124,14
H0CA53214,15
H0FL07168,7
H2TX01120,5
H0NV04080,40
H0CA47141,4
H0NC06209,2
H0NY12209,5
H2WI06067,5
H2FL20233,8
H2MO04215,21
S0NH00318,18
H2TX02367,2
H2AZ04200,3
H0NY04149,46
H8WA10037,3
H0GA09246,37
H8NH02283,8
H8MA02116,7
H2SC01093,5
H0FL23132,7
H0NJ09192,6
H2TX32091,1
H0WI07051,25
S0TN00243,5
S2NY00440,11
S2CA01060,3
H2CA09139,19
H2NV03187,1
H2NC06080,2
H2TX32125,1
H0CA45095,2
H0TX23276,14
H0CA35146,18
H0WI04132,9
H2OR06058,13
H2FL11125,2
H0VT01062,1
H2GA08061,5
H2NC13169,13
H0MI03274,4
H2AK01059,5
H0GA13149,7
S2NV00290,1
H0NY17315,14
H0ME02067,1
H0CO06135,3
H2FL14244,3
H0VA02092,1
H2WA03118,14
H0PA08213,7
H2IN06296,1
H2MO07127,10
H2CO06172,2
H2NC08235,2
H0CT05192,7
H2GA10265,2
H0IL14189,1
H0TX31048,1
H2SC06118,2
H2TX33230,3
H0VA04072,10
H2CT01213,1
H2CA45166,6
H0TX16114,7
H2OH15236,3
H0HI02288,2
H0OR02135,12
H2AZ07195,1
H0TX31030,1
H2MI06117,5
H8VT01065,5
H0IL15160,2
H2TX08224,2
H2TX21136,6
H2NH00025,5
H2AZ03160,1
H0OR01194,10
H0CA20122,7
H0NY10120,4
H8UT03238,10
H2FL09178,2
H0MN02126,2
H0GA14048,13
H2SC07231,2
H2NJ03266,2
H8AZ02201,1
H0TX23243,8
H2FL01225,3
H4VA07127,5
H2IL03147,3
H2NC02253,1
H2MI11133,1
H0MI03266,6
H2CA36447,3
H2TX26218,2
H0PA06142,1
H8TX27080,4
H2WA06160,2
H0FL27034,1
H2CT04076,3
H2MI06125,6
H0NY14239,6
H2TX37074,7
H0OK04208,6
H0GA04148,1
H6MN07304,1
H2CA21183,1
H0FL08257,2
H0CO02217,4
S2OK00145,2
H2AZ01347,2
H0AL01071,1
H0SC01360,1
H0FL20112,4
H0TX17120,5
H0GA06226,1
H2TX35151,1
H2SC07199,3
H0TX22237,2
H0FL26010,2
H8VA01220,1
H2OH11250,1
H2CA54010,2
H2NH02229,2
H2TX28115,3
H0FL10097,2
H8TN06094,3
H0WA02213,1
H2NJ04207,1
H8FL13136,2
H0GA07265,1
H2CA46131,1
H0GA07257,1
S2OR00168,1
H2MO08083,1
H2TX12093,1
H0TN01076,1
H0TX17104,1
H2OH13207,1
H0NH02280,3
S2CA01144,3
H2ME02238,1
H0MI08133,1
S2WA00429,1
H2NM01268,2
H0WI07119,2
H0TX20132,1
H2NY24143,1
H4GA10071,1
S2IL00184,1
H0NC11217,1
H0PA17107,1
S2SD00092,1
H0UT04043,3
H2NC12229,1
S2AL00160,2
H2FL09210,2
H0MA09027,1
H2WA02227,1
H2NY02149,1
H2FL05200,1
H2TX14198,1
S2IL00192,1
S2NC00547,2
H0NM03193,1
H0TX09168,1
H0TX22229,1
S0VA00153,2
H0FL27067,1
H0CA25113,1
