campaign_id,total_unique_donors
H0TX14226,9
S0CO00526,5
H0MD07148,63
H2TX13117,36
H0PA16059,6
H2AZ02337,1
S6CO00333,15
S0NE00130,18
H2SC07157,2
H0NY04115,5
H0FL22092,40
H2PA02154,10
H2PA03137,30
S2MO00650,2
H2NC11189,33
S2PA00299,38
H8GU01020,4
S0AK00212,7
H2CA18130,20
S0GA00435,2
H0NJ04136,40
H0PA14120,4
H0PA02083,16
H8SC05265,5
H0GA01052,19
P00008102,2
H0CO05137,9
S0NM00108,8
H2MA08074,15
H0SD01086,3
H0MD01224,12
S0TN00193,14
H0NY23123,11
H0AS01016,16
H0AL01139,4
H0MN07117,6
S0CA00496,2
P00006742,8
H0TX26071,8
H0MO06206,17
S0AR00218,18
H0NY15251,27
H0LA05153,12
H0CO04205,12
H0TX31154,20
H0CA34115,18
H0CA32341,12
H2MI08154,13
H0IL01202,7
H0MI07168,6
H2TX06186,4
S2NC00398,19
H0MN01102,24
H0IN04303,1
H2CA12208,5
H2WA03142,8
H8NJ11183,9
H2TX30129,9
S0KY00511,39
P00006676,1
P00011049,13
H0NY02218,5
H0FL04124,1
H0TX33044,5
H0IN05227,12
H0CA15171,3
H2CA25226,6
H0TX14218,25
H2GA11222,10
H0CA09117,7
H6TX31045,8
H2MO04124,5
H2CA33048,29
H0GA07216,18
H2NC09183,6
H0NV04122,1
H0AZ09062,4
H0TX35031,1
H2NY02115,9
H0TX14176,5
H2CA42221,29
H0CA34156,14
H2NY20109,9
H2IN03194,1
H0NY10138,2
H0CA15288,4
P00005868,2
S0CO00476,12
H0IL15095,19
H0OH12187,5
H2AZ04184,1
H0TX14184,12
H0MD07320,3
H0IA02131,2
H4NJ09095,2
S0IL00576,12
H8SC05240,17
S0SC00255,9
H2IN09191,6
H6CA19139,4
H0FL02219,5
H0WV03177,2
H0MI10238,31
H0NV04130,2
H6IN06206,3
H0NC09294,4
P00011940,1
H0MD05209,6
S0NE00148,3
H2AZ06213,8
H0CA53248,4
H0VA09121,3
H2OK01168,6
H0MN04213,3
H0WY01010,12
H0OR01152,8
S2NC00372,21
H0MN05244,6
H2OH01178,15
H0IN08239,5
S0NC00327,8
H2NV02494,4
H0NJ06222,7
H8NC06079,1
S2NY00366,1
H0NY18065,1
H0GA10285,6
H8FL22087,3
H0TX33028,2
H2NY01091,11
H8TX01044,1
H8GA11047,1
H0TX31063,1
H0NY01210,1
S2WA00338,4
H0TX31055,2
H8NY04050,4
P00011783,4
H0PA05086,1
H8FL15164,1
H2GA05075,4
H0WI06178,5
H0NM01171,2
H0OR03158,4
H0AZ01382,4
H0LA05096,3
H0NY17216,1
H2AL02158,6
H0CA53149,2
H0CA15221,2
H4NC06136,5
H0FL21102,4
H2CA06309,2
H0TX13236,4
H0KS01206,2
H0FL01138,3
H0CA25212,3
H0OK04158,3
H0SD01060,2
H0VA01201,2
P00008565,10
H2TX22142,1
H2GA06149,1
H2IN09209,1
P80004765,1
S0NM00082,6
P00008235,2
H0TX31139,1
H0CA32358,2
H8LA01148,4
H0CA40112,1
H0OR02242,2
S2OH00428,1
H8NV03101,1
H8GA03069,2
H0NY08090,3
H8OH01084,1
H0NM03086,1
H2CA42163,1
P00006825,2
H0FL04132,3
H2NM01185,2
H8ID01108,1
H0OR02119,1
P00013664,1
H0TX25123,1
P60015724,1
H2TX04116,2
P00013532,2
H2NY12171,2
H2CA00096,1
S0TX00225,3
H8MP00041,2
H0IL08140,1
H0TX09184,1
H0OH05090,1
H0CA15254,2
H0CO04213,1
S2OR00127,1
H2TX30079,2
P00010587,1
H0GA09162,2
P00010108,3
H8CA23129,1
H0VA04080,4
H0UT03201,2
H0FL11194,2
H8NY02088,1
P00012310,1
P20004909,2
H2FL20126,2
H8MA04047,2
P00008003,1
P00006981,1
H0NY17299,1
P00016360,1
S6MO00362,1
P00009704,1
S0GA00674,2
S4OK00208,1
P00011452,1
P80003916,1
P00014472,1
H2GA10133,2
H0TX18326,1
H0NY16127,1
P00008797,1
H0TX06081,2
H0NY17166,1
P00005603,1
H2IL01240,1
H0CA44163,1
P00006403,1
P00015669,1
