total_raised,total_contributions,date,committee,committee_name
4802.160000000006,120,2020-11,C00501643,DAVID ROUZER FOR CONGRESS
43509.62000000035,1924,2020-11,C00561183,TENNEY FOR CONGRESS
768241.4999999872,29527,2020-11,C00540302,TIM SCOTT FOR SENATE
679712.1299999978,14622,2020-11,C00608398,JOHN KENNEDY FOR US
26350.0,21,2020-10,C00412890,ADRIAN SMITH FOR CONGRESS
8617.58,273,2020-10,C00458315,MORAN FOR KANSAS
13699.110000000039,961,2020-10,C00617662,CAPTAIN HIGGINS FOR CONGRESS
37199.42,359,2020-10,C00650697,PETE STAUBER FOR CONGRESS
27167.300000000007,1195,2020-11,C00492785,TED CRUZ FOR SENATE
19019.210000000003,79,2020-10,C00541862,JASON SMITH FOR CONGRESS
44780.6,1412,2020-10,C00436386,FRIENDS OF JOHN BARRASSO
122404.00999999966,6034,2020-11,C00704981,MICHELLE STEEL FOR CONGRESS
15293.639999999976,619,2020-11,C00715235,COLLINS FOR TEXAS
2780.3999999999996,9,2020-11,C00408534,BILIRAKIS FOR CONGRESS
12836.700000000004,78,2020-11,C00559393,DAN NEWHOUSE FOR CONGRESS
12738.010000000004,311,2020-11,C00699660,BISHOP FOR CONGRESS
40236.93000000007,1226,2020-11,C00701003,HUNT FOR CONGRESS
15220.600000000002,31,2020-10,C00444620,FRIENDS OF GLENN THOMPSON
1348284.8499999987,35169,2020-10,C00705236,JOE COLLINS FOR CONGRESS
12713.359999999995,279,2020-10,C00330886,MIKE CRAPO FOR US SENATE
9630.0,67,2020-10,C00504019,RICK W. ALLEN FOR CONGRESS
112394.53,5633,2020-10,C00390724,WALBERG FOR CONGRESS
4182.869999999999,25,2020-11,C00710962,PETER MEIJER FOR CONGRESS
6372.5,25,2020-11,C00717876,AMANDA ADKINS FOR CONGRESS
7734.499999999989,659,2020-11,C00730150,NEHLS FOR CONGRESS
7104.560000000003,315,2020-11,C00722892,"SCHELLER FOR CONGRESS, INC."
2250.0,6,2020-11,C00096412,FRIENDS OF CHRIS SMITH
94805.73000000005,2942,2020-11,C00459255,"FRIENDS OF TODD YOUNG, INC."
10491.45,189,2020-11,C00721142,ANDREWS FOR CONGRESS
210212.27999999997,8651,2020-11,C00620518,MARCO RUBIO FOR SENATE
8501.390000000018,416,2020-11,C00666396,MICHAEL WALTZ FOR CONGRESS
23726.40000000001,100,2020-10,C00408534,BILIRAKIS FOR CONGRESS
27112.640000000032,390,2020-10,C00559393,DAN NEWHOUSE FOR CONGRESS
14320.0,196,2020-10,C00701755,JOY FOR NY
5522.079999999961,885,2020-10,C00464602,VICKY HARTZLER FOR CONGRESS
9373.46,189,2020-10,C00739581,THE BILLY PREMPEH FOR CONGRESS COMMITTEE
11134.919999999998,179,2020-10,C00561530,MOOLENAAR FOR CONGRESS
33726.68000000005,1309,2020-10,C00498907,DEB FISCHER FOR US SENATE
2830.0,9,2020-10,C00477323,PALAZZO FOR CONGRESS
289170.3599999988,14697,2020-10,C00701102,MIKE GARCIA FOR CONGRESS
46009.280000000086,3233,2020-10,C00719294,AUGUST PFLUGER FOR CONGRESS
1500.0,1,2020-11,C00464073,FRIENDS OF SCOTT DESJARLAIS
27186.929999999997,527,2020-11,C00458463,PORTMAN FOR SENATE COMMITTEE
2171.0,14,2020-11,C00740449,MANGA FOR CONGRESS
9357.75,357,2020-10,C00466482,FAMILIES FOR JAMES LANKFORD
12330.379999999992,833,2020-11,C00716498,ESTHER FOR CONGRESS
25964.06,798,2020-10,C00443218,WICKER FOR SENATE
6482.76,231,2020-11,C00330886,MIKE CRAPO FOR US SENATE
20351.469999999994,975,2020-11,C00473827,FRIENDS OF MIKE LEE INC
16293.03,642,2020-11,C00676965,RICK SCOTT FOR FLORIDA
4688.25,116,2020-11,C00670695,ROMNEY FOR UTAH INC
22399.450000000023,814,2020-11,C00230482,"GRASSLEY COMMITTEE, INC."
13864.500000000004,284,2020-11,C00443218,WICKER FOR SENATE
15711.549999999997,407,2020-11,C00409581,FRIENDS OF JOHN THUNE
114620.79000000001,5221,2020-10,C00492785,TED CRUZ FOR SENATE
35211.73999999992,2244,2020-11,C00706267,ASHLEY HINSON FOR CONGRESS
44306.620000000046,2672,2020-10,C00720078,JAY OBERNOLTE FOR CONGRESS 2020
22366.829999999867,2260,2020-10,C00697789,JERRY CARL FOR CONGRESS
15796.2,186,2020-10,C00740449,MANGA FOR CONGRESS
358079.6000000001,6477,2020-10,C00716571,"GADE FOR VIRGINIA, INC."
29476.030000000486,2272,2020-10,C00614214,BERGMANFORCONGRESS
122869.30999999997,4029,2020-10,C00711432,ERIC EARLY FOR CONGRESS 2020
49043.44,1584,2020-10,C00666859,MARYOTT FOR CONGRESS
51885.119999999995,4985,2020-10,C00558825,MILLER-MEEKS FOR CONGRESS
3690.2,65,2020-10,C00716340,CURRAN FOR SENATE
17690.509999999773,2015,2020-10,C00556365,KATKO FOR CONGRESS
29171.050000000316,2416,2020-10,C00723916,MARY MILLER FOR CONGRESS
